card_id,name,method,crop,confidence,score,name_score,effect_score,exact_name,video,seconds,ocr_excerpt
001,ラビー,explicit-no,detailA,2.0200,1.0200,0.5000,0.0000,0,screen-20260901-135152-1788238121077.mp4,21.000,No. 01 : : 撃 す る た び 、 自 身 に 1 ダ メ ー ジ 。 起 動 ( 1 ) : 自 身 の HP を 1 回 復 す
002,スイーマ,explicit-no,detailA,1.9367,0.9367,0.3333,0.0000,0,screen-20260901-135152-1788238121077.mp4,42.333,No. 02 : 純 の ク レ ア リ ! 護 。 攻 撃 不 能 。 起 動 ( 3 ) : 敵 ユ ニ ッ ト 1 体 に 2 ダ メ ー ジ
003,ニーフィ,explicit-no,detailA,2.0067,1.0067,0.3333,0.3750,0,screen-20260901-135152-1788238121077.mp4,59.667,"No. 03 撃 。 召 喚 時 ・ 連 携 = 敵 = = 、 , ← 、 体 0 = 、 ダ = ー ジ 。 起 動 ( 0 ) = ッ ト 1 体 に 1 ダ メ ー ジ"
004,パープル,explicit-no,detailA,1.9803,0.9803,0.3333,0.1818,0,screen-20260901-135152-1788238121077.mp4,74.667,No. 04 当 ィ 、 シ ( 冖 夜 刻 の ル ゼ リ ア ! 撃 。 起 動 ( 3 ) : こ の タ ー ン 、 自 身 は 貫 通 を 得 る
005,ゴーン,enhanced-explicit-no,detailA,2.2047,1.1847,0.5000,0.5333,0,screen-20260901-124211-1788234059908.mp4,6.667,No. 05 : イ リ ス 7 時 : 召 喚 時 効 果 を 発 動 す る 。 起 動 ( 1 ) : 召 喚 時 効 果 を 発 動 す ・ 礇 時 : タ メ ー ジ を 受 け た 味 方 ユ ニ ッ ト 1 体 の HP を 2 回 復 。 タ ー
006,ライガ,exact-title,detailA,1.4400,0.8400,1.0000,0.0000,1,screen-20260901-135152-1788238121077.mp4,9.667,No. OO ( ラ イ ガ 、
007,レッド,exact-title,detailA,1.6590,1.0590,1.0000,0.8710,1,screen-20260901-135152-1788238121077.mp4,12.000,レ ッ 、 ド 攻 撃 時 、 隣 接 し て い る 味 方 を 、 1 / 、 0 。 起 動 ( 1 ) = こ の タ ー 自 身 を + 1 / + 0 す る
008,ブルー,detailB-exact-title,detailB,1.7025,1.1025,1.0000,0.9412,1,screen-20260901-135152-1788238121077.mp4,13.667,ブ ル ー ! 護 。 召 喚 時 ・ 連 携 : リ ー ダ ー の HP を 1 回 復 0 x3
009,グリーン,explicit-no,detailA,2.1583,1.1583,0.6667,0.1875,0,screen-20260901-135152-1788238121077.mp4,139.333,No. 09 ィ き 度 + 2 し 、 召 喚 時 効 果 を 発 動 す る 礇 時 : 深 度 4 以 上 な ら 自 分 の リ ー ダ ー の HP を 6 回 復 。 起 動 ( 2 ) : ウ 工 ン ア イ
010,イエロー,explicit-no,detailA,1.8767,0.8767,0.3333,0.0000,0,screen-20260901-124211-1788234059908.mp4,48.667,No. 10 : = の リ ノ ー ナ ! 撃 。 選 択 : カ ー ド を 2 枚 引 く 0 「 自 身 の ATK + 3
011,若葉の息吹,exact-title,detailA,1.4200,0.8200,1.0000,0.0000,1,screen-20260901-135152-1788238121077.mp4,31.000,No ン ト : 若 葉 の 息 吹 を 2 枚 手 札 に 加 え る
